komentar,value,clean_text,sentiment,sentiment_label
"Sulit sekali untuk menarik saldo, kode konfirmasi tak kunjung dikirim, sudah coba berkali2 bahkan beda hari tetep nihil, saldo costumer tertahan.. mending aplikasi orange narik saldo Rp 1000 saja sat set langsung masuk rekening",1,sulit menarik saldo kode konfirmasi kunjung dikirim coba berkali2 beda tetep nihil saldo costumer tertahan mending aplikasi orange narik saldo rp 1000 sat set langsung masuk rekening,0.0,netral
masih pemula dan mudah mudahan pengiriman nya cepat hasilnya memuaskan hati dan harga nya terjangkau..,5,pemula mudah mudahan pengiriman nya cepat hasilnya memuaskan hati harga nya terjangkau,0.0,netral
"Saran saya mungkin kalo bisa pilih ekspedisi akan lebih memudahkan pelanggan dalam belanja karena, kalau di tempat saya tidak semua ekspedisi itu lancar pengiriman ke alamat tujuan padahal jaraknya tidak terlalu jauh, hanya 20km",4,saran kalo pilih ekspedisi memudahkan pelanggan belanja ekspedisi lancar pengiriman alamat tujuan jaraknya 20km,0.0,netral
"Saya sudah suka dengan fitur promonya, namun tolong tingkatkan fitur pencarian produk di toko dan halaman koin agar lebih spesifik dengan kata kunci yang dimasukkan. Fitur koin dan laz rewards sudah sangat menguntungkan, semoga fitur diskon ini dit ditingkatkan",4,suka fitur promonya tolong tingkatkan fitur pencarian produk toko halaman koin spesifik kunci dimasukkan fitur koin laz rewards menguntungkan semoga fitur diskon dit ditingkatkan,0.4767,positif
"Baru baru ini aku belanja dilazada, dari dulu di oren teruss, ternyata dilazada banyak diskon juga. Tapi sayang banget ulasan produknya itu foto ga sesuai, kata-katanya juga tinggal klik klik aja ga emang sesuai realita, mereka asal kasih ulasan hanya demi koin. Tolong dong diperbaiki, fitur ulasan ga usah lah dikasih kata yang otomatis itu, dan foto harus sesuai, contoh dioren kalo foto bukan produk yg diulas dia ga dapat koin, jadi ngulasnya sesuai realita ! Terimakasih",4,belanja dilazada oren teruss dilazada diskon sayang banget ulasan produknya foto ga sesuai katakatanya tinggal klik klik aja ga emang sesuai realita kasih ulasan koin tolong diperbaiki fitur ulasan ga dikasih otomatis foto sesuai contoh dioren kalo foto produk diulas ga koin ngulasnya sesuai realita terimakasih,0.0,netral
"Lazada adalah aplikasi e-commerce yang menguntungkan untuk saya karena mempermudah belanja online yang terkadang barang yang kita cari ga ada ditoko offline manapun di daerah kita sndiri, solusinya ya beli di e-commerce tapi ada minusnya di lazada, kadang vouchernya kurang update, Trus Game pecah telur ga terlalu worth it karena cuma dapet voucher potongan harga yg kadang ga kepake, lebih baik Game Pecah telur jadikan koin aja rewardnya intinya banyakin reward yg bisa dijadikan koin deh 😇",5,lazada aplikasi ecommerce menguntungkan mempermudah belanja online terkadang barang cari ga ditoko offline manapun daerah sndiri solusinya ya beli ecommerce minusnya lazada kadang vouchernya update trus game pecah telur ga worth it dapet voucher potongan harga kadang ga kepake game pecah telur jadikan koin aja rewardnya intinya banyakin reward dijadikan koin deh,0.6249,positif
"Kurang update pengiriman barangnya, ekspedisi pwngirimannya hanya memakai satu ekspedisi, pengiriman paketnya juga lama. Paket saya seminggu belum sampai. Sedangkan di aplikasi orange aja hanya butuh pengirimn 5 hari. Tapi disini, haduh. Aplikasinya butuh di upgrade lagi deh min, tambah jasa pengirimannya lalu selalu update waktu pengiriman. Kecewa sih klw begini",1,update pengiriman barangnya ekspedisi pwngirimannya memakai ekspedisi pengiriman paketnya paket seminggu aplikasi orange aja butuh pengirimn 5 haduh aplikasinya butuh upgrade deh min jasa pengirimannya update pengiriman kecewa sih klw,0.0,netral
"Ngga konsisten di estimasi paket tiba, di aplikasi 24H tapi kenyataannya butuh 3 hari barang baru sampe, untuk aplikator tolong di beri peringatan untuk seller yang lemot dalam penanganan pesanan. Terimakasih",1,ngga konsisten estimasi paket aplikasi 24h kenyataannya butuh 3 barang sampe aplikator tolong peringatan seller lemot penanganan pesanan terimakasih,0.0,netral
Belanja di sini semakin mengecewakan sekali karena jasa pengirimnya yg sangat mengecewakan sekali . Mengirim barang suka se enak nya tidak tepat waktu. .,1,belanja mengecewakan jasa pengirimnya mengecewakan mengirim barang suka enak nya,0.0,netral
"Tolong dong kalau paket sampai delay dari penulisan sebelum pemesanan (rincian pemesanan) ada ganti nya ntah itu di diskon atau apapun itu. yang namanya keinginan/kebutuhan kalau sampai telat malah akan menimbulkan kesan negatif. sama tolong di kasih cara untuk kita chat pihak gudang, agar sama sama enak kalau memang ada kendala di pengiriman. itu saja terimakasih",2,tolong paket delay penulisan pemesanan rincian pemesanan ganti nya ntah diskon apapun namanya keinginankebutuhan telat menimbulkan kesan negatif tolong kasih chat gudang enak kendala pengiriman terimakasih,-0.3182,negatif
"Mulai belanja di lazada Juli 2023, 75% dari pesanan dibatalkan dengan alasan seller gagal memenuhi waktu pengiriman, mungkin karena tidak ada konsekuensi dari lazada jadi banyak sekali seller yg seperti itu. Untuk kolom komentar/pertanyaan supaya sesama buyer bisa saling tanya ataupun rating pengiriman yg tinggi juga tidak menjamin toko mengirimkan pesanan. Kalau alasan tokonya mungkin overload karena event, harusnya stok dibatasin sesuai kemampuan packing+kirim.",1,belanja lazada juli 2023 75 pesanan dibatalkan alasan seller gagal memenuhi pengiriman konsekuensi lazada seller kolom komentarpertanyaan buyer rating pengiriman menjamin toko mengirimkan pesanan alasan tokonya overload event stok dibatasin sesuai kemampuan packingkirim,-0.3612,negatif
"belanja di Lazada untuk saya selama ini bagus pelayanannya dan yg saya suka masih ada pembayaran di tempat tujuan penerimaan barang. saran saya semoga ada layanan ambil sendiri di perwakilan/counter khusus yg terdekat untuk layanan pengambilan paket sendiri.misalnya ada counter sendiri disetiap kelurahan untuk kirim dan ambil paket... untuk Lazada semoga menjadi toko online terbaik dari yg terbaik""kejujuran kunci kesuksesan""",5,belanja lazada bagus pelayanannya suka pembayaran tujuan penerimaan barang saran semoga layanan ambil perwakilancounter khusus terdekat layanan pengambilan paket sendirimisalnya counter disetiap kelurahan kirim ambil paket lazada semoga toko online terbaik terbaikkejujuran kunci kesuksesan,0.0,netral
"pelayanan kurang, solusi yang diberikan kurang atas masalah yang saya miliki, aplikasi lazada ini ribet kalo kalian punya masalah pada paket pesanan kalian, dana saya juga belum balik dan paket saya sudah 3 bulan tidak sampai",1,pelayanan solusi miliki aplikasi lazada ribet kalo paket pesanan dana paket 3,0.0,netral
"Senang belanja online,simple ja,bisa pesan kpn pun&d mn pun,kita ber'ada,qa perlu capek2 lg tuk k sana/k'mari,semoga makin sukses&tetap bertahan,selektif dlm memilih expedisi pengiriman,,,,thank's you",4,senang belanja onlinesimple jabisa pesan kpn pund mn punkita beradaqa capek2 lg tuk k sanakmarisemoga suksestetap bertahanselektif dlm memilih expedisi pengirimanthanks you,0.0,netral
"Aplikasi mengecewakan, banyak penjual penipu tetap dipelihara, hati2 jika beli ponsel no brand, saya beli ponsel tidak sesuai iklan dan lebih parahnya dalamannya hp jadul yang di root dan di kemas ulang...benar2 kecewa...kapok saya blanja di lazada",1,aplikasi mengecewakan penjual penipu dipelihara hati2 beli ponsel no brand beli ponsel sesuai iklan parahnya dalamannya hp jadul root kemas ulangbenar2 kecewakapok blanja lazada,-0.296,negatif
"Ini lazada kenapa ya, saya sudah order di hp saya dan hp suami setelah hampir seminggu ditunggu gak ada barang datang pas cek hp ternyata blm ada orderan, padahal saya sudah order 2 barang di cek pembatalan juga gak ada padahal saya sudah order metode pembayaran cod",5,lazada ya order hp hp suami seminggu ditunggu gak barang pas cek hp blm orderan order 2 barang cek pembatalan gak order metode pembayaran cod,0.0,netral
"Saya harap lazada menambah fitur chat dengan kurir, meskipun kita mencantumkan nomer kita, tapi terkadang kurir tidang menggunakan aplikasi chat, di hubungi pun nomer terkadang tidak dapat di hubungi, alhasil paket saya entah di terima siapa",3,harap lazada menambah fitur chat kurir mencantumkan nomer terkadang kurir tidang aplikasi chat hubungi nomer terkadang hubungi alhasil paket terima,0.0,netral
Aplikasi bangke. Makin kesini mak8n lemot.gambar gak muncul. Muter aja terus. Padahal hp ram 6 GB /256GB Jaringan wifi 100Mbps. .kl buka shopee langsung kebuka. Lazada emang gak jelas pengembang aplikasi nya.,1,aplikasi bangke kesini mak8n lemotgambar gak muncul muter aja hp ram 6 gb 256gb jaringan wifi 100mbps kl buka shopee langsung kebuka lazada emang gak pengembang aplikasi nya,0.0,netral
"Beli barang di salah satu toko,, tapi salah kirim barang.. Tokonya sudah Mau ganti/tukar barang,, tapi aturan lazada ga bisa,, harus kembali uang.. Saya butuh barangnya,, ribet banget",1,beli barang salah toko salah kirim barang tokonya gantitukar barang aturan lazada ga uang butuh barangnya ribet banget,0.0,netral
"jadikan yg terbaik buat pembeli....lebih teliti dalam melayani karena kadang banyak kesalahan yang terjadi ..entah produk,model atau warna...kalau sama menurut yang beli kan jadi tidak kapok mau beli lagi...seperti saya ..kalau barang sama dengan yang saya pesan saya mau pesan ditoko itu...karna barangnya memuaskan.dan sebaliknya jika barang yang. saya beli tidak seperti yang saya ingin kan ..saya tidak akan mengulangi lagi membeli ditoko tersebut..jadi utamakan kepuasan pembeli😊",5,jadikan terbaik pembelilebih teliti melayani kadang kesalahan produkmodel warnakalau beli kapok beli lagiseperti barang pesan pesan ditoko itukarna barangnya memuaskandan barang beli mengulangi membeli ditoko tersebutjadi utamakan kepuasan pembeli,0.0,netral
"Jelek, saat order ga ada buat nulis catatan, jdi bingung cara order dengan size yg berbeda beda.. saat chatt toko yg bales shop asisten dan itu ga ngebantu sama sekali, banyak nya jadi orderan salah. Tolong lah diperbaiki jika ingin maju lagi",1,jelek order ga nulis catatan jdi bingung order size berbeda beda chatt toko bales shop asisten ga ngebantu nya orderan salah tolong diperbaiki maju,0.0,netral
"Kecewa sama lazada, ga bisa sortir toko yg penipuan, barang ga ada tapi statusnya di kemas, akhirnya pesanan ga bisa dibatalin, padahal pesanan udah di bayar lunas, buat kalian ati2 belanja di lazada, lebih baik di shoope jarang ada masalah...",1,kecewa lazada ga sortir toko penipuan barang ga statusnya kemas pesanan ga dibatalin pesanan udah bayar lunas ati2 belanja lazada shoope jarang,0.0,netral
Kenapa lazada saya gak ada gratis ongkir lagi.. Padahal typ hari belanja karna saya buat jualan.. Kalo gak ada gratis ongkir harga ny sama aja kaya di pasar.. Harus nya yg sering belanja bonus gratis ongkir ny di tambahin..ini malah di ilangin..🤦🏽‍♀️🤦🏽‍♀️,2,lazada gak gratis ongkir typ belanja karna jualan kalo gak gratis ongkir harga ny aja kaya pasar nya belanja bonus gratis ongkir ny tambahinini ilangin,0.6249,positif
"Cs lazada benar"" Sulit di hubungi saya order pesanan tgl 1 lewat m bangking bca saldo saya berkurang dan status pesanan masih dalam pembayaran dan pesanan saya di batalkan karena waktu pembayaran terlambat. saya coba menghubungi CS nya lama banget penanganan nya dan anehnya lagi estimasi yang di berikan tidak sesuai dengan data yang di berikan di suruh tunggu"" 3 hari lagi ya tiga hari lagi yah sampe sekarang sudah tgl 6.buat pihak terkait kalo kerja itu yang serius jangan buat customer kecewa 😥",1,cs lazada sulit hubungi order pesanan tgl 1 m bangking bca saldo berkurang status pesanan pembayaran pesanan batalkan pembayaran terlambat coba menghubungi cs nya banget penanganan nya anehnya estimasi sesuai data suruh tunggu 3 ya yah sampe tgl 6buat terkait kalo kerja serius customer kecewa,0.0,netral
Saya merasa dirugikan karena saldo saya terpotong sendiri untuk pengembalian dana tidak ada kabar sampai sekarang tolong aplikasi ini merugikan sekali dan untuk komplain yang jawab hanya BOT nya dan tidak memberikan solusi sama sekali untuk pengembalian saldo APLIKASI YANG SANGAT MERUGIKAN!!!!,1,dirugikan saldo terpotong pengembalian dana kabar tolong aplikasi merugikan komplain bot nya solusi pengembalian saldo aplikasi merugikan,0.0,netral
Ternyata byk RESELLER LAZADA yg tdk kooperatif......cm iklan saja yg no 1 tp praktek NOL BESAR....sdh dibayar tp pengerjaan pesanan gk segera dikerjakan...hingga akhirnya dibatalkan oleh sistem......3x order cm orderan pertama yg berjalan baik.... berikutnya gak progres....!!!,2,byk reseller lazada tdk kooperatifcm iklan no 1 tp praktek nol besarsdh dibayar tp pengerjaan pesanan dikerjakanhingga dibatalkan sistem3x order cm orderan berjalan gak progres,-0.296,negatif
"Kenapa suka tiba2 keluar sendiri trs ada tulisan layanan berhenti sih kacau, baru masuk mau cek pesanan gak bisa, karena langsung keluar sendiri, plisss tolong di perbaiki lagi secepatnya . Karna pesanan saya tidak bisa di lihat sama sekali",3,suka tiba2 trs tulisan layanan berhenti sih kacau masuk cek pesanan gak langsung plisss tolong perbaiki secepatnya karna pesanan lihat,0.0,netral
"aplikasi yg semena mena krena pengambilan keputusan sepihak, scra history pembayaran tdk pernah telat ttpi malah dibekukan limit paylater nya.. sangat tidak menghargai Konsumen dan tdk recommended lah intinya , lebih baik beralih ke aplikasi yg lainnya yg lebih menghargai konsumen",1,aplikasi semena mena krena pengambilan keputusan scra history pembayaran tdk telat ttpi dibekukan limit paylater nya menghargai konsumen tdk recommended intinya beralih aplikasi menghargai konsumen,0.2023,positif
"Mohon untuk jasa pengiriman Lex id diperbaiki lagi, posisi saya di madiun, 2 hari yang lalu padahal paket saya sudah di kab. Madiun, kenapa kok malah bablas ke Pacitan? Sudah 1 Minggu saya menunggu barangnya Untungnya barangnya lagi ga butuh butuh banget. Kacaw bat lazada. Kapok belanja disini walaupun banyak promo🤬🤬👿👿",1,mohon jasa pengiriman lex id diperbaiki posisi madiun 2 paket kab madiun bablas pacitan 1 minggu menunggu barangnya untungnya barangnya ga butuh butuh banget kacaw bat lazada kapok belanja promo,0.0,netral
"Aplikasi gak guna,, udah2 jelas ada metode pembayaran paylater/cicilan ,,eh pas mau check out malah ngilang paylaternya.. Padahal saya gak pernah telat ataupun nunggak bayar cicilannya",1,aplikasi gak udah2 metode pembayaran paylatercicilan eh pas check out ngilang paylaternya gak telat nunggak bayar cicilannya,0.0,netral
"Vitur² pencarian barang mudah dimengerti, banyak diskonya, banyak jg limitnya.🙏 Semoga makin maju dan berkembang dgn pesat.🤲🙏👍",5,vitur² pencarian barang mudah dimengerti diskonya jg limitnya semoga maju berkembang dgn pesat,0.0,netral
2 bintang dlu lah...!! mau tngok dlu pesanan sy apakah sesuai dngan gambar dan kualitas nya. klau sama gua kasi 10 bintang klo ok. 😁😁,2,2 bintang dlu tngok dlu pesanan sy sesuai dngan gambar kualitas nya klau gua kasi 10 bintang klo ok,0.296,positif
"sellernya aneh semua. pesenan sudah dibayar dibatalin sepihak, lapor ke cs bilang 3hari dibalikin sampe sekarang ga ada uang masuk. pesanan ga dikirim malah disuruh pulangin. aneh banget. kapok belanja di lazada. pdhl saya suka pake ini karna banyak promonya",1,sellernya aneh pesenan dibayar dibatalin lapor cs bilang 3hari dibalikin sampe ga uang masuk pesanan ga dikirim disuruh pulangin aneh banget kapok belanja lazada pdhl suka pake karna promonya,0.0,netral
pengiriman sangat LAMBAT di bilang Bagus. di kemas terus sampai 2030. gw kira sekali pesan langsung di antar ternyata sudah lebih 1 hari masih di kemas juga. walaupun ada itu pun hanya satu yg di kirim. Bagus apanya 😡😡 Baru coba belanja di Lazada udh bikin orang kesal.,1,pengiriman lambat bilang bagus kemas 2030 gw pesan langsung 1 kemas kirim bagus apanya coba belanja lazada udh bikin orang kesal,0.0,netral
"Saat beli pulsa dan muncul pemberitahuan di aplikasi transaksi berhasil, tetapi pulsa tidak pernah masuk ke nomor tujuan sama sekali. Hubungi adminnya isinya robot / bot. Sangat mengecewakan dan ini termasuk penipuan.",1,beli pulsa muncul pemberitahuan aplikasi transaksi berhasil pulsa masuk nomor tujuan hubungi adminnya isinya robot bot mengecewakan penipuan,0.0,netral
"App lazada okt 2021 11,11 sale...makin nge BUG, belanja dilazada status pembelian notifikasi gak muncul, (diklik baru ada), melihat penilaian n ulasan (foto) harus lihat smua gak bisa satu2...seller luar negeri, banyak yg di(BAN), ( peraturan indonesia) setuju... Trus baru buka app laz dihp lihat flase sale, suka lama sekali muncul barangnya... Mungkin hp gw x ya ram 3/32lebay..",5,app lazada okt 2021 1111 salemakin nge bug belanja dilazada status pembelian notifikasi gak muncul diklik penilaian n ulasan foto lihat smua gak satu2seller negeri diban peraturan indonesia setuju trus buka app laz dihp lihat flase sale suka muncul barangnya hp gw x ya ram 332lebay,0.0,netral
"SAYA pesan PAKET ,pakai jasa kirim LAZADA , padahal belum di TERIMA, tapi di tulis sudah di terima. Kurirnya tidak mau antar. SANGAT MENGECEWAKAN",1,pesan paket pakai jasa kirim lazada terima tulis terima kurirnya mengecewakan,0.0,netral
"Sangat mengecewakan, Percuma ngumpulin Coin. Pas di tuker Tulisannya Gratis eh malah di suruh bayar . Dan Barang nya rusak lagi. Bilang di awal klo bayar. Kan ga saya pesan..",1,mengecewakan ngumpulin coin pas tuker tulisannya gratis eh suruh bayar barang nya rusak bilang klo bayar ga pesan,0.0516,positif
Saya sudah bayar tp kenapa diaplikas tidak muncul diproses.. Malah suruh pembayaran.saya sudah bayar..mohon di cek pembayaran saya.. Jelas2 sudah byar..,1,bayar tp diaplikas muncul diproses suruh pembayaransaya bayarmohon cek pembayaran jelas2 byar,0.0,netral
memang di lazada aplikasi online banyak produk produk yang di inginkan dan juga gampang masalah pembayaran semuahnya ada.pokonya gak ribet dan gak ragu lagi belanja di lazada sangat memuaskan.thanks senang hati,5,lazada aplikasi online produk produk gampang pembayaran semuahnya adapokonya gak ribet gak ragu belanja lazada memuaskanthanks senang hati,0.0,netral
"Lumayan sangat membatu , cuman kita harus pandai pilih toko , banyak toko yang ngasal , padahal kita beli , bukan minta , mending penawaran mahal , kalo ga bisa abil untung kecil , tapi barang reel dari pada penawaran murah barang ga sesuai , karna pembeli itu kalo dah sekali bagus , pasti langganan , kata saya , karna dalam berdagang kejujuran no 1",5,lumayan membatu cuman pandai pilih toko toko ngasal beli mending penawaran mahal kalo ga abil untung barang reel penawaran murah barang ga sesuai karna pembeli kalo dah bagus langganan karna berdagang kejujuran no 1,-0.296,negatif
"Tolong ini aplikasi jangan serta merta mengambil saldo dana. Tolong pihak OJK, Kominfo. Agar kira aplikasi ini di hapus saja. Banyak yang dirugikan. Mau komplain robot yg jawab bukan manusia. Sulit untuk cari solusi. Pemilik aplikasi diuntungkan. Penggunaan di rugikan. Ke 3 kalinya saya kehilangan saldo dana secara tiba-tiba tanpa ada konfirmasi. Setelah di cek riwayat transaksi ada jejak. Tetapi setelah di cek fitur return dan pembatalan. Tidak muncul barang. Ada indikasi pencurian.",1,tolong aplikasi merta mengambil saldo dana tolong ojk kominfo aplikasi hapus dirugikan komplain robot manusia sulit cari solusi pemilik aplikasi diuntungkan penggunaan rugikan 3 kalinya kehilangan saldo dana tibatiba konfirmasi cek riwayat transaksi jejak cek fitur return pembatalan muncul barang indikasi pencurian,0.0,netral
"Kapok belanja di lazada!!!GK lagi lagi ,GK bisa bersaing sama begitu banyak nya aplikasi shoping yg makin maju, berkembang,dan amanah,fitur nya ribet,kurir nya ribet,barang"" nya toko bodong kosong semua, Reed flag deh Poko nya,,",1,kapok belanja lazadagk bersaing nya aplikasi shoping maju berkembangdan amanahfitur nya ribetkurir nya ribetbarang nya toko bodong kosong reed flag deh poko nya,0.0,netral
"Kenapa setiap mau pilih barang sama pesan selalu harus masuk capch, emang di kira robot apa saya ya,selalu dan selalu begitu padahal nanya ke user yg lain gk ada kendala, jadi males bukanya,udah di apus kirain normal lagi eh ternyata masih sama dan selalu bikin emosi.",1,pilih barang pesan masuk capch emang robot yaselalu nanya user kendala males bukanyaudah apus kirain normal eh bikin emosi,0.0,netral
"senang belanja disini. semoga LAZADA Bisa membangun toko2 yang jujur & amanah. juga semoga bisa menumpas toko2 yg abal2. Tingkatkan terus bonus2 & promo2 nya, biar tak kalah saing sama olshop sebelah.",5,senang belanja semoga lazada membangun toko2 jujur amanah semoga menumpas toko2 abal2 tingkatkan bonus2 promo2 nya biar kalah saing olshop sebelah,0.0,netral
"selama ini alis seneng belanja di lazada, karna Inda pernah salah kirim barang yg di pesen, cepet, ramah......emmm, pokoknya the best deh lazada,gk tau y Ama yg lainya......",5,alis seneng belanja lazada karna inda salah kirim barang pesen cepet ramahemmm pokoknya the best deh lazadagk tau y ama lainya,0.6369,positif
"Awal blanja barangnya reel..makin sering blanja barangnya mulai gak karo""an...kadang jauh beda kwalitas barang datang sm yg di iklankan..lbh baek temen"" jati"" blanja online..jgn smpai kna tipu dgn barang"" yg d iklankan di sini...kecewa saya",1,blanja barangnya reelmakin blanja barangnya gak karoankadang beda kwalitas barang sm iklankanlbh baek temen jati blanja onlinejgn smpai kna tipu dgn barang d iklankan sinikecewa,0.0,netral
"Situ lama kirim paketnya,gue juga akan bikin lama konfirmasi penerimaan paketnya . Kan impas. Kurangin lagi jadi 1 bintang karena semakin lama paket nggak sampai-sampai, SORRY YEE... Kok Shopee bisa tetap lebih cepat ya pengirimannya(estimasi tiba hari ini,pagi-pagi udah nongol)",1,situ kirim paketnyague bikin konfirmasi penerimaan paketnya impas kurangin 1 bintang paket nggak sampaisampai sorry yee shopee cepat ya pengirimannyaestimasi inipagipagi udah nongol,-0.0772,negatif
"saya senang beli kebutuhan rumah tangga,karena tinggal duduk manis barang nyampe sesuai,tapi klo baju saya mending beli di langsung karena ukuran sesuai",5,senang beli kebutuhan rumah tanggakarena tinggal duduk manis barang nyampe sesuaitapi klo baju mending beli langsung ukuran sesuai,0.0,netral
